"id","creator_id","cycle_id","base_amount","bonus_amount","total_amount","paid_at","payment_method","payment_reference","notes"
"0035f76b-38e4-4265-8c36-a9d0e02c4f3b","e2cff90e-487c-4b46-8382-54c8768085fb","d21c7996-5925-4695-a5dc-b97af83f1821","160.00","0.00","160.00","""2026-01-27T18:26:23.523Z""","manual",,
"042e534c-a21f-4931-ab9f-183866501686","8677b792-9546-451e-9afe-47199bd80177","dccc83b1-85c5-42da-a8ec-ad83e0edbebb","160.00","0.00","160.00",,,,
"07a9c36f-416d-4937-8828-76c4413de6d3","8677b792-9546-451e-9afe-47199bd80177","d21c7996-5925-4695-a5dc-b97af83f1821","140.00","0.00","140.00","""2026-01-27T18:27:58.485Z""","manual",,
"0d2d5ce6-0e10-4ead-9452-60b349584c6f","7bbf3edc-8d8e-4b1a-bc57-04c8836619fa","d21c7996-5925-4695-a5dc-b97af83f1821","0.00","0.00","0.00","""2026-01-26T19:31:17.995Z""","manual",,
"0d9354c4-3d06-4cfa-aeab-4c9d04e3a4e8","f16c9866-6790-42b0-a19b-47ca08309558","5c3e6d76-c8aa-457c-9bfa-a2fee4d2284d","120.00","0.00","120.00",,,,
"0dc476e7-9338-497e-a167-4fd082f2ff85","96e1e78f-9028-4b32-aa2f-4f9bb1e7f5aa","d21c7996-5925-4695-a5dc-b97af83f1821","40.00","10.00","50.00",,,,
"16c91249-44b8-47c7-9e2f-6b4f259cca56","7c944ebf-5ec8-4339-b228-e96ee1476f1b","5c3e6d76-c8aa-457c-9bfa-a2fee4d2284d","40.00","0.00","40.00",,,,
"18c0a4ba-5818-47e3-bc44-fee654a93f23","6890def8-5980-4a20-a681-602f9e113f9e","d21c7996-5925-4695-a5dc-b97af83f1821","220.00","10.00","230.00","""2026-01-28T08:30:11.172Z""","manual",,
"1c2136da-1f59-4f8e-af40-6e9f1d69ad43","0b30bf4e-263d-44c8-b0d2-b1a4e5d84edc","dccc83b1-85c5-42da-a8ec-ad83e0edbebb","40.00","0.00","40.00",,,,
"22f45e1e-166c-4f2b-962a-431acdc2aade","a7f9d44b-7577-479e-b154-9ddce10f1508","9181e8e3-85be-449a-b6c7-c26e029f05d7","0.00","0.00","0.00",,,,
