"id","creator_id","cycle_id","base_amount","bonus_amount","total_amount","paid_at","payment_method","payment_reference","notes"
"0035f76b-38e4-4265-8c36-a9d0e02c4f3b","e2cff90e-487c-4b46-8382-54c8768085fb","d21c7996-5925-4695-a5dc-b97af83f1821","160.00","0.00","160.00","""2026-01-27T18:26:23.523Z""","manual",,
"07a9c36f-416d-4937-8828-76c4413de6d3","8677b792-9546-451e-9afe-47199bd80177","d21c7996-5925-4695-a5dc-b97af83f1821","140.00","0.00","140.00","""2026-01-27T18:27:58.485Z""","manual",,
"0d2d5ce6-0e10-4ead-9452-60b349584c6f","7bbf3edc-8d8e-4b1a-bc57-04c8836619fa","d21c7996-5925-4695-a5dc-b97af83f1821","0.00","0.00","0.00","""2026-01-26T19:31:17.995Z""","manual",,
"0dc476e7-9338-497e-a167-4fd082f2ff85","96e1e78f-9028-4b32-aa2f-4f9bb1e7f5aa","d21c7996-5925-4695-a5dc-b97af83f1821","40.00","10.00","50.00",,,,
"18c0a4ba-5818-47e3-bc44-fee654a93f23","6890def8-5980-4a20-a681-602f9e113f9e","d21c7996-5925-4695-a5dc-b97af83f1821","220.00","10.00","230.00","""2026-01-28T08:30:11.172Z""","manual",,
"22f45e1e-166c-4f2b-962a-431acdc2aade","a7f9d44b-7577-479e-b154-9ddce10f1508","9181e8e3-85be-449a-b6c7-c26e029f05d7","0.00","0.00","0.00",,,,
"23dfcc2e-20f7-4a0f-b086-89dca012b030","4218f75d-4d54-4c39-af99-272d0d042276","4f35b178-f853-4869-ade0-633d05855908","0.00","0.00","0.00",,,,
"245ffdaa-544c-4b91-82b4-c04b5dea086c","7bbf3edc-8d8e-4b1a-bc57-04c8836619fa","4f35b178-f853-4869-ade0-633d05855908","140.00","75.00","215.00",,,,
"2efb06e1-2852-44b8-a458-60aa1908e76b","0b30bf4e-263d-44c8-b0d2-b1a4e5d84edc","d21c7996-5925-4695-a5dc-b97af83f1821","300.00","0.00","300.00","""2026-01-27T18:24:14.379Z""","manual",,
"3547f7ad-038b-4996-bc99-c500d9406f3f","8677b792-9546-451e-9afe-47199bd80177","5c3e6d76-c8aa-457c-9bfa-a2fee4d2284d","240.00","10.00","250.00",,,,
"601c405c-7636-4f43-8a9f-7299ec059d83","6a5ff7a2-890c-46b3-8bc6-aae5c5269df9","d21c7996-5925-4695-a5dc-b97af83f1821","440.00","0.00","440.00","""2026-01-27T15:06:18.813Z""","manual",,
"6dc87e4a-4a15-45ac-b44d-f5af4261d360","6890def8-5980-4a20-a681-602f9e113f9e","5c3e6d76-c8aa-457c-9bfa-a2fee4d2284d","280.00","0.00","280.00",,,,
"6e413370-ffdb-4908-b63a-00395e26798b","6a5ff7a2-890c-46b3-8bc6-aae5c5269df9","5c3e6d76-c8aa-457c-9bfa-a2fee4d2284d","0.00","0.00","0.00",,,,
"79736205-d07b-4f0e-91cc-f6dadd0def3f","a7f9d44b-7577-479e-b154-9ddce10f1508","4f35b178-f853-4869-ade0-633d05855908","0.00","0.00","0.00",,,,
"851d9ac7-0016-4b93-ae83-c7ce8a70e6df","a7f9d44b-7577-479e-b154-9ddce10f1508","d21c7996-5925-4695-a5dc-b97af83f1821","0.00","0.00","0.00",,,,
"94f1ed61-a94c-404f-b110-886b4ef06133","25e185ca-b8c9-4935-8d26-a9ab20d599ed","d21c7996-5925-4695-a5dc-b97af83f1821","40.00","0.00","40.00","""2026-01-27T15:06:53.078Z""","manual",,
"a04b84af-aa49-4984-b919-9c0044c7bf06","ae7a80c7-f083-4a4e-9b53-74db6df5a8e2","5c3e6d76-c8aa-457c-9bfa-a2fee4d2284d","40.00","0.00","40.00",,,,
"a49d852f-abdd-49a0-a083-4edf21bd1c74","7c944ebf-5ec8-4339-b228-e96ee1476f1b","d21c7996-5925-4695-a5dc-b97af83f1821","120.00","0.00","120.00","""2026-01-27T15:07:07.135Z""","manual",,
"c389288c-fcac-420b-a0d7-981416feb86c","a7708f14-c2be-4d45-bdfe-992723de9902","9181e8e3-85be-449a-b6c7-c26e029f05d7","0.00","0.00","0.00",,,,
"c8fb3dd0-072d-4852-af07-a7ccfbed8570","96e1e78f-9028-4b32-aa2f-4f9bb1e7f5aa","5c3e6d76-c8aa-457c-9bfa-a2fee4d2284d","120.00","0.00","120.00",,,,
"e49fb8a4-7794-49f9-8053-e5863eaf8123","25e185ca-b8c9-4935-8d26-a9ab20d599ed","5c3e6d76-c8aa-457c-9bfa-a2fee4d2284d","40.00","0.00","40.00",,,,
"e531404f-090d-4571-9176-7035f70f1df1","4218f75d-4d54-4c39-af99-272d0d042276","9181e8e3-85be-449a-b6c7-c26e029f05d7","0.00","0.00","0.00",,,,
"e5969068-0d27-41c6-b81b-d47556f5288c","4218f75d-4d54-4c39-af99-272d0d042276","d21c7996-5925-4695-a5dc-b97af83f1821","0.00","0.00","0.00",,,,
"fd838676-e581-43c6-b940-27eb6eb9ae5a","d54690fa-9a7b-464f-8707-e39d61e97909","9181e8e3-85be-449a-b6c7-c26e029f05d7","520.00","4925.00","5445.00",,,,
